gcr_number,GCR_NAME,admin_area,BLOCK_NAME,NAME,GCR_STATUS,GRID_REF,LATITUDE,LONGITUDE,EASTING,NORTHING,GCR_DATE,REVIEW_DATE,AGENCY,GCR_STATEMENT,SYSTEM,ESCC,SSSI_NAME
1,Fionchra,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,"The Small Isles – Rum, Eigg, Muck, Canna–Sanday",Notified,NG340000,57.01,-6.38,134000,800000,01-Oct-79,25-Sep-86,SNH,This site owes its unique status to being the only known locality where lavas demonstrably younger than a Central Intrusive Complex occur within the British Tertiary Igneous Province. The lavas form a complex but well-documented sequence and rest on a floor of country rocks which includes the plutonic members of the Complex. The floor has been sculpted by fluviatile erosion and the lavas themselves have been cut by river channels subsequently filled with sedimentary deposits or later flows.,Tertiary,"EO,EC",RUM
2,Allt nam Ba - Beinn nan Stac,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,"The Small Isles – Rum, Eigg, Muck, Canna–Sanday",Notified,NM405943,56.97,-6.27,140500,794300,01-Oct-79,25-Sep-86,SNH,"This small site contains significant and controversial exposures of variably altered calcareous rocks affected by the major ring-fault around the eastern part of the Rhum Complex. Some have yielded poorly preserved fossils of Jurassic age and are the only known representatives of this System on the island. This occurrence is of special significance in that it suggests that at one time downward movement of the block bounded by the ring-fault took place, a suggestion opposed to the more conventional inferences drawn as to the movements on this fault.",Tertiary,EO,RUM
3,Hallival - Askival,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,"The Small Isles – Rum, Eigg, Muck, Canna–Sanday",Notified,NM396963,56.98,-6.29,139600,796300,01-Oct-79,25-Sep-86,SNH,"The slopes of Hallival and Askival provide classic and intensively studied exposures of the Eastern Series of the internationally important, layered, ultrabasic complex of Rhum. This complex is the major occurrence of ultrabasic rocks within the British Tertiary Igneous Province and has been the subject of research for over a century, work which continues vigorously today. Fifteen relatively thin, rhythmically layered, units of olivine and plagioclase cumulates have been identified. Many aspects of the complex have been studied in detail but the work on the petrology and pseudo-sedimentary structures of the cumulates has been of particular and fundamental importance.",Tertiary,EO,RUM
4,Harris Bay,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,"The Small Isles – Rum, Eigg, Muck, Canna–Sanday",Notified,NM340955,56.97,-6.38,134000,795500,01-Oct-79,25-Sep-86,SNH,"The Harris Bay site incorporates exposures of the Western Series of the ultrabasic complex of Rhum. This differs substantially from the Eastern Series, exposed in the Hallival-Askival site, in that only four much thicker units of layered ultrabasic rock have been recognised, separated in places by unusual igneous breccias of controversial origin. Cumulate textures of particular significance have been described from these rocks, including harrisitic texture, for which this is the type locality, and crescumulate texture, which, absent or rare in ultrabasic complexes elsewhere in the world, here find an unusually prolific development. The contact zone between the ultrabasic complex and granophyre of the Central Intrusive Complex is also exposed here and has itself been the subject of much research and discussion.",Tertiary,"EO,EC",RUM
5,Cnapan Breaca to Long Loch,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,"The Small Isles – Rum, Eigg, Muck, Canna–Sanday",Notified,NM383987,57.01,-6.31,138300,798700,01-Oct-79,25-Sep-86,SNH,"This site demonstrates the northern margin of the Rhum Complex and provides important evidence concerning the sequences of magmatic and tectonic development. The Complex is bounded by a composite ring- fault within which, in places, is found Lewisian basement gneiss providing important evidence relating to the sense of movement of the fault. The Complex is in contact with Torridonian sediments along the fault and these have been intensely contorted and folded against the fault, the deformation apparently resulting from the intrusion of the Complex. A suite of acid igneous rocks including explosion breccias, tuffisite intrusions and felsites is associated with the Complex margin and these are cut by a number of basic and ultrabasic plutonic intrusions, some of which extend northwards into the country rocks.",Tertiary,"EO,EW",RUM
6,Dibidil to Southern Mountains,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,"The Small Isles – Rum, Eigg, Muck, Canna–Sanday",Notified,NM367948,56.97,-6.33,136700,794800,01-Oct-79,25-Sep-86,SNH,"The Southern Mountains Complex of Rhum incorporates the best occurrence of the full suite of acid igneous rocks characteristic of the British Tertiary Igneous Province. The acid intrusive complex predates the ultrabasic complex, being separated from it by a ring fracture, and elsewhere intrudes Lewisian and Torridonian rocks. Four main rock types are recognised: explosion breccias, felsites, tuffisites and granophyre, here listed in order of emplacement and increasing depth of origin. The central mass of felsite is bounded in places by explosion breccias produced by upwelling gases which preceded the intrusion; the breccias pass into unaltered Torridonian strata. The tuffisite bodies are the largest known in the Hebridean Central Complexes.",Tertiary,"EO, EC",RUM
7,South-west Eigg,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,"The Small Isles – Rum, Eigg, Muck, Canna–Sanday",Notified,NM442876,56.91,-6.20,144200,787600,01-Oct-79,30-Dec-88,SNH,"The primary interest of this site lies in the unique mass of columnar pitchstone which builds An Sgurr, the largest occurrence of this rock type in the British Isles. The mode of occurrence of the pitchstone, first studied in the late 19th century, has recently been the subject of further research; however, its origin still remains a matter of debate. In addition to this principal interest, the site provides a cross-section through 200 metres of the lava pile of Eigg.",Tertiary,"FM,EO",EIGG - AN SGURR AND GLEANN CHARADAIL
8,"Camas Mor, Isle of Muck","Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,"The Small Isles – Rum, Eigg, Muck, Canna–Sanday",Notified,NM403789,56.83,-6.26,140300,778900,01-Oct-79,09-Apr-86,SNH,In the cliffs on the eastern side of Camas Mor a large gabbro dyke cuts Mesozoic limestones. It has incorporated and partly assimilated blocks of limestone and has generated a complex and rare mineral assemblage in the resultant skarn. The site is of further special interest for the unusual sequence of basal Tertiary tuffs and sediments lying below the lava succession and resting on Jurassic strata. The Tertiary sediments probably originated as air-fall deposits of basaltic ash and lapilli ejected from nearby fissure eruptions. It also demonstrates the complete sequence of lavas on Muck and part of the remarkably dense swarm of basic dykes which cut the island.,Tertiary,"EC,EO","CAMAS MOR, MUCK"
9,East Canna and Sanday,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,"The Small Isles – Rum, Eigg, Muck, Canna–Sanday",Notified,NG288037,57.04,-6.47,128800,803700,01-Oct-79,12-Sep-83,SNH,"The principal interest of this site is the occurrence of agglomerates and derived fluvial conglomerates, sandstones and mudstones within the Tertiary lava succession. These are the best developed examples to have been described from the Tertiary Igneous Province and provide unique evidence concerning the palaeogeography of the area. Some of the larger fragments in the conglomerates are alien to Canna and Sanday and must have been derived from Rhum. The lava succession within the site is also of considerable interest in that it differs chemically from that of west-central Skye with which it is connected by submarine outcrops; its precise correlation with other sequences is currently undecided.",Tertiary,EC,CANNA AND SANDAY
10,Ben Hiant,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Ardnamurchan,Notified,NM547623,56.69,-6.01,154700,762300,01-Oct-79,25-Sep-86,SNH,"Ben Hiant is carved from a small central volcano, assigned to Centre 1 and unique in the British Tertiary Igneous Province. Two remnant volcanic vents, infilled by agglomerates, tuffs and crater lavas, have been recognised; among the filling material is a unique site of andesitic pitchstone flows. Two major dolerite intrusions within the vents build most of the highest ground. The larger is of particular interest as it appears to have formed by injection of several separate confluent pulses of magma although further research is needed to confirm this view. Several episodes of minor intrusions, including an early cone-sheet swarm, are represented.",Tertiary,"FM,EW",BEN HIANT & ARDNAMURCHAN COAST
